Time resolution is 1 ps
Time	clk	reset	out
0	0	1	000
10000	1	0	010
20000	0	0	010
30000	1	0	101
40000	0	0	101
50000	1	0	111
60000	0	0	111
70000	1	0	001
80000	0	0	001
90000	1	0	000
100000	0	0	000
110000	1	0	010
120000	0	0	010
130000	1	0	101
140000	0	0	101
150000	1	0	111
160000	0	0	111
170000	1	0	001
180000	0	0	001
190000	1	0	000
200000	0	0	000
$finish called at time : 210 ns : File "D:/VLSI lab/Sequence Counter/Sequence Counter.srcs/sim_1/new/tb.v" Line 33
Time	clk	reset	out
0	0	1	000
10000	1	0	010
20000	0	0	010
30000	1	0	101
40000	0	0	101
50000	1	0	111
60000	0	0	111
70000	1	0	001
80000	0	0	001
90000	1	0	000
100000	0	0	000
110000	1	0	010
120000	0	0	010
130000	1	0	101
140000	0	0	101
150000	1	0	111
160000	0	0	111
170000	1	0	001
180000	0	0	001
190000	1	0	000
200000	0	0	000
$finish called at time : 210 ns : File "D:/VLSI lab/Sequence Counter/Sequence Counter.srcs/sim_1/new/tb.v" Line 33
Time	clk	reset	out
0	0	1	000
10000	1	0	010
20000	0	0	010
30000	1	0	101
40000	0	0	101
50000	1	0	111
60000	0	0	111
70000	1	0	001
80000	0	0	001
90000	1	0	000
100000	0	0	000
110000	1	0	010
120000	0	0	010
130000	1	0	101
140000	0	0	101
150000	1	0	111
160000	0	0	111
170000	1	0	001
180000	0	0	001
190000	1	0	000
200000	0	0	000
$finish called at time : 210 ns : File "D:/VLSI lab/Sequence Counter/Sequence Counter.srcs/sim_1/new/tb.v" Line 33
